OCC_YEAR,OCC_TIME_RANGE,NEIGHBOURHOOD_158
2004,Afternoon,Etobicoke West Mall (13)
2004,Night,South Parkdale (85)
2004,Evening,Rockcliffe-Smythe (111)
2004,Afternoon,NSA
2004,Evening,Tam O'Shanter-Sullivan (118)
2004,Evening,Golfdale-Cedarbrae-Woburn (141)
2004,Night,Mount Olive-Silverstone-Jamestown (2)
2004,Afternoon,West Hill (136)
2004,Evening,Wellington Place (164)
2004,Evening,Dovercourt Village (172)
2004,Night,Rustic (28)
2004,Evening,Moss Park (73)
2004,Afternoon,Humber Bay Shores (161)
2004,Afternoon,Stonegate-Queensway (16)
2004,Afternoon,Stonegate-Queensway (16)
2004,Night,Malvern East (146)
2004,Afternoon,Pelmo Park-Humberlea (23)
2004,Night,L'Amoreaux West (147)
2004,Night,Black Creek (24)
2004,Night,Malvern West (145)
2004,Night,Islington (158)
2004,Night,Oakdale-Beverley Heights (154)
2004,Night,Junction-Wallace Emerson (171)
2004,Morning,NSA
2004,Afternoon,Runnymede-Bloor West Village (89)
2004,Afternoon,Glenfield-Jane Heights (25)
2004,Night,Hillcrest Village (48)
2004,Night,Moss Park (73)
2004,Evening,West Humber-Clairville (1)
2004,Evening,West Humber-Clairville (1)
2004,Evening,Clairlea-Birchmount (120)
2004,Morning,L'Amoreaux West (147)
2004,Evening,Weston (113)
2004,Evening,Elms-Old Rexdale (5)
2004,Night,Glenfield-Jane Heights (25)
2004,Evening,New Toronto (18)
2004,Night,Downtown Yonge East (168)
2004,Morning,Yonge-Bay Corridor (170)
2004,Evening,Dovercourt Village (172)
2004,Evening,West Hill (136)
2004,Night,St Lawrence-East Bayfront-The Islands
2004,Night,Rockcliffe-Smythe (111)
2004,Evening,York University Heights (27)
2004,Evening,Mount Olive-Silverstone-Jamestown (2)
2004,Evening,Weston (113)
2004,Evening,Tam O'Shanter-Sullivan (118)
2004,Night,Weston (113)
2004,Night,Victoria Village (43)
2004,Evening,Highland Creek (134)
2004,Night,Oakridge (121)
2004,Evening,Junction-Wallace Emerson (171)
2004,Night,Weston (113)
2004,Afternoon,NSA
2004,Night,NSA
2004,Evening,Black Creek (24)
2004,Night,Mount Olive-Silverstone-Jamestown (2)
2004,Afternoon,Mount Olive-Silverstone-Jamestown (2)
2004,Afternoon,Downtown Yonge East (168)
2004,Evening,West Hill (136)
2004,Night,Downtown Yonge East (168)
2004,Evening,East L'Amoreaux (148)
2004,Night,Mimico-Queensway (160)
2004,Evening,Moss Park (73)
2004,Night,West Humber-Clairville (1)
2004,Night,South Riverdale (70)
2004,Night,Rustic (28)
2004,Morning,North St.James Town (74)
2004,Evening,East L'Amoreaux (148)
2004,Night,Rockcliffe-Smythe (111)
2004,Evening,Fenside-Parkwoods (150)
2004,Night,Eglinton East (138)
2004,Afternoon,NSA
2004,Night,Dufferin Grove (83)
2004,Evening,West Humber-Clairville (1)
2004,Evening,Corso Italia-Davenport (92)
2004,Night,NSA
2004,Evening,Fenside-Parkwoods (150)
2004,Night,Oakdale-Beverley Heights (154)
2004,Night,Weston (113)
2004,Morning,Englemount-Lawrence (32)
2004,Evening,Oakwood Village (107)
2004,Morning,Wellington Place (164)
2004,Evening,East L'Amoreaux (148)
2004,Afternoon,Tam O'Shanter-Sullivan (118)
2004,Night,Oakdale-Beverley Heights (154)
2004,Evening,Islington (158)
2004,Afternoon,Mount Olive-Silverstone-Jamestown (2)
2004,Night,Mount Olive-Silverstone-Jamestown (2)
2004,Evening,Rockcliffe-Smythe (111)
2004,Night,Rexdale-Kipling (4)
2004,Night,South Parkdale (85)
2004,Afternoon,Oakdale-Beverley Heights (154)
2004,Night,East L'Amoreaux (148)
2004,Evening,Regent Park (72)
2004,Night,Fenside-Parkwoods (150)
2004,Night,Briar Hill-Belgravia (108)
2004,Afternoon,Milliken (130)
2004,Evening,East L'Amoreaux (148)
2004,Afternoon,Kennedy Park (124)
2004,Night,Downtown Yonge East (168)
2004,Evening,Flemingdon Park (44)
2004,Evening,Weston (113)
2004,Night,Agincourt South-Malvern West (128)
2004,Afternoon,East L'Amoreaux (148)
2004,Night,East L'Amoreaux (148)
2004,Evening,St.Andrew-Windfields (40)
2004,Evening,High Park North (88)
2005,Night,Junction Area (90)
2005,Evening,Wexford/Maryvale (119)
2005,Evening,Ionview (125)
2005,Night,Wellington Place (164)
2005,Night,Wellington Place (164)
2005,Evening,Yonge-St.Clair (97)
2005,Night,Golfdale-Cedarbrae-Woburn (141)
2005,Evening,Stonegate-Queensway (16)
2005,Night,Glenfield-Jane Heights (25)
2005,Evening,West Queen West (162)
2005,Evening,Glenfield-Jane Heights (25)
2005,Night,Steeles (116)
2005,Evening,Etobicoke West Mall (13)
2005,Evening,Don Valley Village (47)
2005,Night,Weston (113)
2005,Evening,Glenfield-Jane Heights (25)
2005,Night,Dorset Park (126)
2005,Evening,Scarborough Village (139)
2005,Evening,Newtonbrook East (50)
2005,Evening,Moss Park (73)
2005,Afternoon,Bay-Cloverhill (169)
2005,Night,West Hill (136)
2005,Night,Mount Olive-Silverstone-Jamestown (2)
2005,Evening,Kensington-Chinatown (78)
2005,Night,Thistletown-Beaumond Heights (3)
2005,Evening,North St.James Town (74)
2005,Night,NSA
2005,Night,Wellington Place (164)
2005,Night,South Riverdale (70)
2005,Night,Eglinton East (138)
2005,Night,Woburn North (142)
2005,Night,Newtonbrook West (36)
2005,Night,Parkwoods-O'Connor Hills (149)
2005,Evening,East L'Amoreaux (148)
2005,Evening,Banbury-Don Mills (42)
2005,Morning,Golfdale-Cedarbrae-Woburn (141)
2005,Night,Wellington Place (164)
2005,Night,Agincourt South-Malvern West (128)
2005,Afternoon,Broadview North (57)
2005,Night,Cliffcrest (123)
2005,Morning,Moss Park (73)
2005,Evening,Black Creek (24)
2005,Afternoon,Yorkdale-Glen Park (31)
2005,Morning,Steeles (116)
2005,Evening,Old East York (58)
2005,Night,Humber Summit (21)
2005,Morning,Downtown Yonge East (168)
2005,Afternoon,Black Creek (24)
2005,Night,Dufferin Grove (83)
2005,Afternoon,Willowridge-Martingrove-Richview (7)
2005,Afternoon,West Humber-Clairville (1)
2005,Night,Rosedale-Moore Park (98)
2005,Night,Yonge-Bay Corridor (170)
2005,Night,Humber Bay Shores (161)
2005,Evening,East L'Amoreaux (148)
2005,Night,West Humber-Clairville (1)
2005,Afternoon,Moss Park (73)
2005,Night,Birchcliffe-Cliffside (122)
2005,Afternoon,Morningside (135)
2005,Afternoon,NSA
2005,Night,Malvern East (146)
2005,Evening,Cabbagetown-South St.James Town (71)
2005,Evening,South Parkdale (85)
2005,Night,Annex (95)
2005,Afternoon,West Hill (136)
2005,Night,Humber Summit (21)
2005,Night,Kensington-Chinatown (78)
2005,Afternoon,Henry Farm (53)
2005,Night,Regent Park (72)
2005,Afternoon,Glenfield-Jane Heights (25)
2005,Evening,Glenfield-Jane Heights (25)
2005,Afternoon,Lansing-Westgate (38)
2005,Evening,NSA
2005,Morning,Weston (113)
2005,Evening,Eringate-Centennial-West Deane (11)
2005,Night,Junction-Wallace Emerson (171)
2005,Night,Willowridge-Martingrove-Richview (7)
2005,Evening,Glenfield-Jane Heights (25)
2005,Night,Blake-Jones (69)
2005,Night,East Willowdale (152)
2005,Night,Danforth (66)
2005,Night,East L'Amoreaux (148)
2005,Night,Church-Wellesley (167)
2005,Night,Agincourt South-Malvern West (128)
2005,Night,Oakdale-Beverley Heights (154)
2005,Night,West Hill (136)
2005,Night,Oakdale-Beverley Heights (154)
2005,Evening,NSA
2005,Afternoon,Golfdale-Cedarbrae-Woburn (141)
2005,Night,Glenfield-Jane Heights (25)
2005,Night,Mount Dennis (115)
2005,Evening,York University Heights (27)
2005,Evening,NSA
2005,Evening,York University Heights (27)
2005,Night,Yorkdale-Glen Park (31)
2005,Afternoon,Humbermede (22)
2005,Evening,West Humber-Clairville (1)
2005,Night,Yorkdale-Glen Park (31)
2005,Evening,Black Creek (24)
2005,Night,Mount Olive-Silverstone-Jamestown (2)
2005,Evening,Milliken (130)
2005,Afternoon,Humber Summit (21)
2005,Night,Glenfield-Jane Heights (25)
2005,Evening,West Humber-Clairville (1)
2005,Evening,Kingsview Village-The Westway (6)
2005,Night,Rustic (28)
2005,Night,East End-Danforth (62)
2005,Afternoon,Humbermede (22)
2005,Night,East L'Amoreaux (148)
2005,Afternoon,Danforth (66)
2005,Night,Wellington Place (164)
2005,Night,Mount Olive-Silverstone-Jamestown (2)
2005,Evening,NSA
2005,Afternoon,Dorset Park (126)
2005,Night,Stonegate-Queensway (16)
2005,Night,Junction-Wallace Emerson (171)
2005,Night,Black Creek (24)
2005,Night,Downtown Yonge East (168)
2005,Evening,Tam O'Shanter-Sullivan (118)
2005,Evening,Markland Wood (12)
2005,Evening,Black Creek (24)
2005,Night,Keelesdale-Eglinton West (110)
2005,Evening,Junction-Wallace Emerson (171)
2005,Night,East L'Amoreaux (148)
2005,Night,NSA
2005,Night,Rustic (28)
2005,Night,Dovercourt Village (172)
2005,Evening,Mount Olive-Silverstone-Jamestown (2)
2005,Night,Black Creek (24)
2005,Morning,Regent Park (72)
2005,Night,Humbermede (22)
2005,Morning,Downtown Yonge East (168)
2005,Evening,West Humber-Clairville (1)
2005,Afternoon,Clairlea-Birchmount (120)
2005,Afternoon,Glenfield-Jane Heights (25)
2005,Night,Yonge-Bay Corridor (170)
2005,Night,Weston-Pelham Park (91)
2005,Evening,Tam O'Shanter-Sullivan (118)
2005,Night,L'Amoreaux West (147)
2005,Evening,Flemingdon Park (44)
2005,Evening,Mount Olive-Silverstone-Jamestown (2)
2005,Night,Eglinton East (138)
2005,Night,Oakdale-Beverley Heights (154)
2005,Evening,Caledonia-Fairbank (109)
2005,Evening,Rockcliffe-Smythe (111)
2005,Night,Glenfield-Jane Heights (25)
2005,Evening,Englemount-Lawrence (32)
2005,Evening,East L'Amoreaux (148)
2005,Evening,Humbermede (22)
2005,Evening,New Toronto (18)
2005,Evening,NSA
2005,Evening,Downtown Yonge East (168)
2005,Night,Malvern East (146)
2005,Night,Pelmo Park-Humberlea (23)
2005,Evening,Oakridge (121)
2005,Evening,Tam O'Shanter-Sullivan (118)
2005,Afternoon,Englemount-Lawrence (32)
2005,Morning,East L'Amoreaux (148)
2005,Afternoon,Glenfield-Jane Heights (25)
2005,Night,Downtown Yonge East (168)
2005,Night,Glenfield-Jane Heights (25)
2005,Night,Glenfield-Jane Heights (25)
2005,Night,Black Creek (24)
2005,Night,Mount Olive-Silverstone-Jamestown (2)
2005,Evening,L'Amoreaux West (147)
2005,Night,Bendale South (157)
2005,Evening,Scarborough Village (139)
2005,Night,Rosedale-Moore Park (98)
2005,Evening,North St.James Town (74)
2005,Evening,Glenfield-Jane Heights (25)
2005,Evening,Malvern East (146)
2005,Evening,Humber Heights-Westmount (8)
2005,Evening,West Hill (136)
2005,Afternoon,Brookhaven-Amesbury (30)
2005,Night,Cabbagetown-South St.James Town (71)
2005,Evening,Rockcliffe-Smythe (111)
2005,Afternoon,Flemingdon Park (44)
2005,Night,New Toronto (18)
2005,Night,Wellington Place (164)
2005,Evening,Rustic (28)
2005,Afternoon,Glenfield-Jane Heights (25)
2005,Evening,Scarborough Village (139)
2005,Evening,L'Amoreaux West (147)
2005,Afternoon,O'Connor-Parkview (54)
2005,Evening,Kensington-Chinatown (78)
2005,Morning,Kensington-Chinatown (78)
2005,Afternoon,Taylor-Massey (61)
2005,Afternoon,Glenfield-Jane Heights (25)
2005,Night,Brookhaven-Amesbury (30)
2005,Night,Junction-Wallace Emerson (171)
2005,Evening,West Queen West (162)
2005,Night,West Humber-Clairville (1)
2005,Afternoon,Yonge-Bay Corridor (170)
2005,Evening,NSA
2005,Night,Oakdale-Beverley Heights (154)
2005,Afternoon,Fort York-Liberty Village (163)
2005,Afternoon,New Toronto (18)
2005,Afternoon,Black Creek (24)
2005,Afternoon,Little Portugal (84)
2005,Evening,Glenfield-Jane Heights (25)
2005,Evening,Maple Leaf (29)
2005,Morning,Cliffcrest (123)
2005,Evening,Elms-Old Rexdale (5)
2005,Night,South Parkdale (85)
2005,Night,Yonge-Bay Corridor (170)
2005,Evening,Glenfield-Jane Heights (25)
2005,Evening,Malvern West (145)
2005,Night,Keelesdale-Eglinton West (110)
2005,Evening,Black Creek (24)
2005,Afternoon,Woburn North (142)
2005,Night,Malvern East (146)
2005,Night,Humbermede (22)
2005,Night,Golfdale-Cedarbrae-Woburn (141)
2005,Evening,NSA
2005,Evening,Trinity-Bellwoods (81)
2005,Evening,O'Connor-Parkview (54)
2005,Evening,Morningside Heights (144)
2005,Evening,Pelmo Park-Humberlea (23)
2005,Afternoon,Malvern East (146)
2005,Afternoon,Mount Olive-Silverstone-Jamestown (2)
2005,Evening,Mount Olive-Silverstone-Jamestown (2)
2005,Night,Wellington Place (164)
2005,Evening,L'Amoreaux West (147)
2005,Afternoon,Glenfield-Jane Heights (25)
2005,Night,Flemingdon Park (44)
2005,Night,Wellington Place (164)
2005,Evening,Don Valley Village (47)
2005,Afternoon,Humber Summit (21)
2005,Night,L'Amoreaux West (147)
2005,Evening,Don Valley Village (47)
2005,Night,Flemingdon Park (44)
2005,Night,West Hill (136)
2005,Evening,West Hill (136)
2005,Night,Clairlea-Birchmount (120)
2005,Afternoon,Briar Hill-Belgravia (108)
2005,Night,Humbermede (22)
2005,Afternoon,Black Creek (24)
2005,Evening,Greenwood-Coxwell (65)
2005,Afternoon,Mount Olive-Silverstone-Jamestown (2)
2005,Evening,West Humber-Clairville (1)
2005,Night,Glenfield-Jane Heights (25)
2005,Night,Scarborough Village (139)
2005,Night,Fenside-Parkwoods (150)
2005,Evening,Etobicoke City Centre (159)
2005,Evening,Moss Park (73)
2005,Evening,West Humber-Clairville (1)
2005,Afternoon,Junction-Wallace Emerson (171)
2005,Evening,NSA
2005,Night,Yonge-Bay Corridor (170)
2005,Night,Black Creek (24)
2005,Evening,Rockcliffe-Smythe (111)
2005,Evening,Yonge-Bay Corridor (170)
2005,Night,Corso Italia-Davenport (92)
2005,Afternoon,West Hill (136)
2005,Evening,Oakdale-Beverley Heights (154)
2005,Afternoon,Glenfield-Jane Heights (25)
2005,Night,Eglinton East (138)
2005,Night,Yonge-Bay Corridor (170)
2005,Night,Wellington Place (164)
2005,Evening,Wexford/Maryvale (119)
2005,Afternoon,Eglinton East (138)
2005,Evening,Malvern East (146)
2006,Night,Mount Dennis (115)
2006,Night,Briar Hill-Belgravia (108)
2006,Night,East L'Amoreaux (148)
2006,Evening,Oakdale-Beverley Heights (154)
2006,Night,Humbermede (22)
2006,Night,Scarborough Village (139)
2006,Night,Birchcliffe-Cliffside (122)
2006,Night,North Toronto (173)
2006,Evening,Regent Park (72)
2006,Night,Rexdale-Kipling (4)
2006,Evening,Fenside-Parkwoods (150)
2006,Evening,Woburn North (142)
2006,Afternoon,Moss Park (73)
2006,Evening,Clairlea-Birchmount (120)
2006,Afternoon,Black Creek (24)
2006,Night,Corso Italia-Davenport (92)
2006,Night,Malvern East (146)
2006,Evening,Clairlea-Birchmount (120)
2006,Night,Oakwood Village (107)
2006,Evening,Black Creek (24)
2006,Evening,Glenfield-Jane Heights (25)
2006,Afternoon,Malvern East (146)
2006,Afternoon,Malvern East (146)
2006,Night,Dufferin Grove (83)
2006,Night,Dufferin Grove (83)
2006,Night,Golfdale-Cedarbrae-Woburn (141)
2006,Afternoon,Malvern East (146)
2006,Morning,Regent Park (72)
2006,Night,Regent Park (72)
2006,Evening,Regent Park (72)
2006,Night,NSA
2006,Evening,East End-Danforth (62)
2006,Night,Palmerston-Little Italy (80)
2006,Afternoon,Glenfield-Jane Heights (25)
2006,Night,Long Branch (19)
2006,Afternoon,Glenfield-Jane Heights (25)
2006,Afternoon,L'Amoreaux West (147)
2006,Evening,Yorkdale-Glen Park (31)
2006,Night,Glenfield-Jane Heights (25)
2006,Afternoon,Humbermede (22)
2006,Evening,Scarborough Village (139)
2006,Night,Ionview (125)
2006,Afternoon,Glenfield-Jane Heights (25)
2006,Night,Maple Leaf (29)
2006,Afternoon,Malvern East (146)
2006,Evening,Malvern East (146)
2006,Afternoon,North St.James Town (74)
2006,Night,Corso Italia-Davenport (92)
2006,Night,Yonge-Bay Corridor (170)
2006,Night,Kensington-Chinatown (78)
2006,Evening,Glenfield-Jane Heights (25)
2006,Evening,Mount Dennis (115)
2006,Evening,Flemingdon Park (44)
2006,Night,West Humber-Clairville (1)
2006,Afternoon,Bendale-Glen Andrew (156)
2006,Evening,Morningside (135)
2006,Night,West Humber-Clairville (1)
2006,Night,Clairlea-Birchmount (120)
2006,Evening,Malvern West (145)
2006,Evening,NSA
2006,Night,Humbermede (22)
2006,Night,Malvern East (146)
2006,Evening,L'Amoreaux West (147)
2006,Evening,Parkwoods-O'Connor Hills (149)
2006,Evening,Milliken (130)
2006,Afternoon,Malvern West (145)
2006,Evening,L'Amoreaux West (147)
2006,Night,Flemingdon Park (44)
2006,Afternoon,Glenfield-Jane Heights (25)
2006,Night,Black Creek (24)
2006,Afternoon,West Humber-Clairville (1)
2006,Afternoon,Cliffcrest (123)
2006,Evening,Mount Olive-Silverstone-Jamestown (2)
2006,Evening,Kingsview Village-The Westway (6)
2006,Night,Oakdale-Beverley Heights (154)
2006,Afternoon,Junction-Wallace Emerson (171)
2006,Morning,Roncesvalles (86)
2006,Evening,NSA
2006,Evening,O'Connor-Parkview (54)
2006,Night,Dorset Park (126)
2006,Night,Kingsview Village-The Westway (6)
2006,Afternoon,Rustic (28)
2006,Night,Briar Hill-Belgravia (108)
2006,Evening,Agincourt South-Malvern West (128)
2006,Evening,Rockcliffe-Smythe (111)
2006,Evening,NSA
2006,Night,East L'Amoreaux (148)
2006,Night,Beechborough-Greenbrook (112)
2006,Afternoon,O'Connor-Parkview (54)
2006,Evening,Oakdale-Beverley Heights (154)
2006,Morning,York University Heights (27)
2006,Evening,Golfdale-Cedarbrae-Woburn (141)
2006,Afternoon,West Hill (136)
2006,Morning,Weston (113)
2006,Night,Rockcliffe-Smythe (111)
2006,Afternoon,St Lawrence-East Bayfront-The Islands
2006,Night,Cliffcrest (123)
2006,Evening,Rustic (28)
2006,Night,Mount Olive-Silverstone-Jamestown (2)
2006,Evening,West Humber-Clairville (1)
2006,Evening,NSA
2006,Night,New Toronto (18)
2006,Afternoon,Malvern West (145)
2006,Night,Mount Olive-Silverstone-Jamestown (2)
2006,Afternoon,Downsview (155)
2006,Evening,Willowridge-Martingrove-Richview (7)
2006,Evening,Old East York (58)
2006,Night,Milliken (130)
2006,Evening,Milliken (130)
2006,Night,Keelesdale-Eglinton West (110)
2006,Afternoon,Malvern West (145)
2006,Night,Downtown Yonge East (168)
2006,Night,University (79)
2006,Evening,Moss Park (73)
2006,Evening,Old East York (58)
2006,Evening,Malvern East (146)
2006,Night,Malvern East (146)
2006,Night,Regent Park (72)
2006,Night,Moss Park (73)
2006,Night,Humbermede (22)
2006,Evening,St Lawrence-East Bayfront-The Islands
2006,Night,Alderwood (20)
2006,Night,Scarborough Village (139)
2006,Night,Oakdale-Beverley Heights (154)
2006,Morning,NSA
2006,Evening,Downtown Yonge East (168)
2006,Evening,Mount Dennis (115)
2006,Evening,Morningside Heights (144)
2006,Night,Wellington Place (164)
2006,Evening,Downsview (155)
2006,Evening,Golfdale-Cedarbrae-Woburn (141)
2006,Night,Eglinton East (138)
2006,Afternoon,Black Creek (24)
2006,Night,Hillcrest Village (48)
2006,Evening,Thorncliffe Park (55)
2006,Afternoon,West Hill (136)
2006,Evening,York University Heights (27)
2006,Evening,Glenfield-Jane Heights (25)
2006,Evening,Clairlea-Birchmount (120)
2006,Morning,Roncesvalles (86)
2006,Evening,Humber Summit (21)
2006,Evening,NSA
2006,Night,Wexford/Maryvale (119)
2006,Evening,Don Valley Village (47)
2006,Night,Eglinton East (138)
2006,Evening,Beechborough-Greenbrook (112)
2006,Afternoon,Henry Farm (53)
2006,Night,Morningside (135)
2006,Night,Junction-Wallace Emerson (171)
2006,Night,Humbermede (22)
2006,Evening,Rockcliffe-Smythe (111)
2006,Night,Flemingdon Park (44)
2006,Evening,East L'Amoreaux (148)
2006,Night,South Parkdale (85)
2006,Evening,Regent Park (72)
2006,Afternoon,Woburn North (142)
2006,Evening,Humber Summit (21)
2006,Night,York University Heights (27)
2006,Afternoon,Broadview North (57)
2006,Night,South Parkdale (85)
2006,Night,Wexford/Maryvale (119)
2006,Evening,Yorkdale-Glen Park (31)
2006,Afternoon,Islington (158)
2006,Night,Oakdale-Beverley Heights (154)
2006,Night,North Riverdale (68)
2006,Evening,Oakdale-Beverley Heights (154)
2006,Evening,Victoria Village (43)
2006,Night,Flemingdon Park (44)
2006,Night,Flemingdon Park (44)
2006,Evening,Bendale-Glen Andrew (156)
2006,Night,Oakwood Village (107)
2006,Evening,Humbermede (22)
2006,Night,South Riverdale (70)
2006,Night,Wellington Place (164)
2006,Night,Regent Park (72)
2006,Evening,Rockcliffe-Smythe (111)
2006,Night,Highland Creek (134)
2006,Night,Wellington Place (164)
2006,Evening,Regent Park (72)
2006,Night,Highland Creek (134)
2006,Night,Eglinton East (138)
2006,Night,Rockcliffe-Smythe (111)
2006,Evening,Englemount-Lawrence (32)
2006,Night,Mount Olive-Silverstone-Jamestown (2)
2006,Night,Wellington Place (164)
2006,Night,York University Heights (27)
2006,Afternoon,Regent Park (72)
2006,Evening,Malvern West (145)
2006,Afternoon,Glenfield-Jane Heights (25)
2006,Night,Corso Italia-Davenport (92)
2006,Afternoon,West Humber-Clairville (1)
2006,Evening,Rustic (28)
2006,Evening,Downtown Yonge East (168)
2006,Evening,Wellington Place (164)
2006,Afternoon,Humber Bay Shores (161)
2006,Evening,Malvern West (145)
2006,Night,Clairlea-Birchmount (120)
2006,Night,Harbourfront-CityPlace (165)
2006,Afternoon,Don Valley Village (47)
2006,Evening,Malvern East (146)
2006,Evening,Oakdale-Beverley Heights (154)
2006,Night,Morningside Heights (144)
2006,Afternoon,Glenfield-Jane Heights (25)
2006,Evening,East L'Amoreaux (148)
2006,Night,Morningside (135)
2006,Evening,Morningside (135)
2006,Night,Wellington Place (164)
2006,Night,Yonge-Bay Corridor (170)
2006,Evening,Black Creek (24)
2006,Evening,Rexdale-Kipling (4)
2006,Evening,Humber Heights-Westmount (8)
2006,Evening,Glenfield-Jane Heights (25)
2006,Evening,Black Creek (24)
2006,Night,Kennedy Park (124)
2006,Night,Downtown Yonge East (168)
2007,Afternoon,Malvern West (145)
2007,Night,Golfdale-Cedarbrae-Woburn (141)
2007,Evening,Weston (113)
2007,Evening,West Humber-Clairville (1)
2007,Night,St Lawrence-East Bayfront-The Islands
2007,Evening,York University Heights (27)
2007,Afternoon,West Humber-Clairville (1)
2007,Evening,Regent Park (72)
2007,Night,Flemingdon Park (44)
2007,Evening,NSA
2007,Evening,NSA
2007,Morning,Agincourt South-Malvern West (128)
2007,Night,Wellington Place (164)
2007,Afternoon,Regent Park (72)
2007,Evening,West Hill (136)
2007,Night,Humber Summit (21)
2007,Afternoon,Clairlea-Birchmount (120)
2007,Evening,Malvern East (146)
2007,Night,Cliffcrest (123)
2007,Morning,Humewood-Cedarvale (106)
2007,Evening,Cliffcrest (123)
2007,Night,West Hill (136)
2007,Night,Bridle Path-Sunnybrook-York Mills (41)
2007,Night,Oakwood Village (107)
2007,Evening,Moss Park (73)
2007,Night,South Parkdale (85)
2007,Night,East End-Danforth (62)
2007,Night,Humber Summit (21)
2007,Evening,Agincourt North (129)
2007,Evening,West Hill (136)
2007,Night,Humbermede (22)
2007,Night,Briar Hill-Belgravia (108)
2007,Evening,Tam O'Shanter-Sullivan (118)
2007,Night,Oakdale-Beverley Heights (154)
2007,Night,Thorncliffe Park (55)
2007,Evening,Glenfield-Jane Heights (25)
2007,Evening,Yonge-Bay Corridor (170)
2007,Evening,Roncesvalles (86)
2007,Afternoon,Cabbagetown-South St.James Town (71)
2007,Afternoon,Mount Olive-Silverstone-Jamestown (2)
2007,Afternoon,Humbermede (22)
2007,Night,Glenfield-Jane Heights (25)
2007,Afternoon,New Toronto (18)
2007,Night,Oakdale-Beverley Heights (154)
2007,Night,Glenfield-Jane Heights (25)
2007,Evening,North Riverdale (68)
2007,Evening,Danforth East York (59)
2007,Night,Oakdale-Beverley Heights (154)
2007,Evening,West Humber-Clairville (1)
2007,Night,Glenfield-Jane Heights (25)
2007,Morning,Rustic (28)
2007,Evening,Glenfield-Jane Heights (25)
2007,Evening,Black Creek (24)
2007,Afternoon,Glenfield-Jane Heights (25)
2007,Night,Weston (113)
2007,Night,Humbermede (22)
2007,Evening,Black Creek (24)
